Publish Date,Publisher,Title,Written by
2018 Nov,Acta Diabetol,Measuring visual cortical oxygenation in diabetes using functional near-infrared spectroscopy.,Shahani U et al.
2018 Sep 1,JAMA Neurol,"Visual Phenomena in Occipital Lobe Epilepsy: ""It's Beautiful!""",Ransom CB et al.
2018 Jul,Turk Thorac J,Delayed Diagnosis of Tuberculoma in a Child with Nephritis due to Systemic Lupus Erythematosus.,Indriani K et al.
2018 Sep 12,J Neurosci,Robustness of Spike Deconvolution for Neuronal Calcium Imaging.,Harris KD et al.
2018 Aug 21,Proc Natl Acad Sci U S A,Robust nanoscopy of a synaptic protein in living mice by organic-fluorophore labeling.,Hell SW et al.
2018 Aug 6,BMC Biol,Attention decouples action potentials from the phase of local field potentials in macaque visual cortical area MT.,Treue S et al.
2018 Aug 4,Sensors (Basel),Biologically Inspired Hierarchical Contour Detection with Surround Modulation and Neural Connection.,Qi M et al.
2019 Feb,Acta Neuropsychiatr,Magnetic resonance (MR) spectroscopic measurement of γ-aminobutyric acid (GABA) in major depression before and after electroconvulsive therapy.,Blicher JU et al.
2018,Proc Jpn Acad Ser B Phys Biol Sci,Functions and dysfunctions of the basal ganglia in humans.,Yanagisawa N et al.
2019 Feb 15,J Comp Neurol,Cortical projections to the two retinotopic maps of primate pulvinar are distinct.,Casagrande V et al.
2018 Dec,J Nucl Med Technol,Regional Changes in Brain 18F-FDG Uptake After Prophylactic Cranial Irradiation and Chemotherapy in Small Cell Lung Cancer May Reflect Functional Changes.,Kuo PH et al.
2018 Apr,Curr Med Sci,MRI Features and Site-specific Factors of Ischemic Changes in White Matter: A Retrospective Study.,Xu SB et al.
2019 Jul,Clin EEG Neurosci,Preliminary Evidence for Limbic-Frontal Hyperexcitability in Psychogenic Nonepileptic Seizure Patients.,Gustafson K et al.
2019 Sep,Neurosurg Rev,Correlation between glioma location and preoperative seizures: a systematic review and meta-analysis.,Liu J et al.
2018 Jul-Aug,eNeuro,Organization of Neural Population Code in Mouse Visual System.,Park IM et al.
2018 Oct,Acta Psychol (Amst),Arithmetic word problems describing discrete quantities: E.E.G evidence for the construction of a situation model.,Thevenot C et al.
2018,PLoS One,Effects of color lenses on visual evoked magnetic fields following bright light.,Kakigi R et al.
2018 Oct,J Neural Eng,Dynamic reshaping of functional brain networks during visual object recognition.,Hassan M et al.
2018 Oct 1,J Comp Neurol,"Laminar specific gene expression reveals differences in postnatal laminar maturation in mouse auditory, visual, and somatosensory cortex.",Kawai HD et al.
2018 Aug 1,BMJ Case Rep,Metastatic pancreatic adenocarcinoma presenting as an occipital haemorrhage.,Lam A et al.
2018 Jul 31,Cell Rep,Successful Reorganization of Category-Selective Visual Cortex following Occipito-temporal Lobectomy in Childhood.,Behrmann M et al.
2018 Sep 5,Neuroreport,The electrophysiological correlates of internet language processing revealed by N170 elicited by network emoticons.,Zhao L et al.
2018 Nov 1,J Neurophysiol,Isoflurane and ketamine differentially influence spontaneous and evoked laminar electrophysiology in mouse V1.,Kozai TDY et al.
2018 Sep,Neuroradiology,Visual cortex neural activity alteration in cervical spondylotic myelopathy patients: a resting-state fMRI study.,Xue Y et al.
2018,Contrast Media Mol Imaging,Investigation on the Neural Mechanism of Hypnosis-Based Respiratory Control Using Functional MRI.,Xie Y et al.
2018 Sep 5,J Neurosci,Experience-Dependent Development of Feature-Selective Synchronization in the Primary Visual Cortex.,Yoshimura Y et al.
2018 Oct 3,Mol Ther,Retained Plasticity and Substantial Recovery of Rod-Mediated Visual Acuity at the Visual Cortex in Blind Adult Mice with Retinal Dystrophy.,Nakazawa T et al.
2018 Jul 31,BMC Res Notes,"MicroRNA-101 inhibits the expression of Rhes, a striatal-enriched small G-protein, at the post-transcriptional level in vitro.",Taketomi A et al.
2018 Dec,J Cogn Neurosci,Early Numerosity Encoding in Visual Cortex Is Not Sufficient for the Representation of Numerical Magnitude.,Park J et al.
2018,Front Neurol,Altered Long- and Short-Range Functional Connectivity Density in Healthy Subjects After Sleep Deprivations.,Chen W et al.
2019 Jul 5,Cereb Cortex,Evidence for a Posterior Parietal Cortex Contribution to Spatial but not Temporal Numerosity Perception.,Knops A et al.
2018 Sep,Cortex,Exploring the contribution of visual imagery to scene construction - Evidence from Posterior Cortical Atrophy.,Irish M et al.
2018 Sep 15,Annu Rev Vis Sci,The Organization and Operation of Inferior Temporal Cortex.,Conway BR et al.
2018 Aug 22,Neuron,Linear Summation Underlies Direction Selectivity in Drosophila.,Clandinin TR et al.
2018 Sep,J Physiol,Uncovering a critical period of synaptic imbalance during postnatal development of the rat visual cortex: role of brain-derived neurotrophic factor.,Wong-Riley MTT et al.
2018 Dec,Curr Opin Neurobiol,The development of local circuits in the neocortex: recent lessons from the mouse visual cortex.,Brown SP et al.
2018 Nov 1,Neuroimage,Columnar organization of mid-spectral and end-spectral hue preferences in human visual cortex.,Tootell RBH et al.
2018 Sep 15,Annu Rev Vis Sci,Invariant Recognition Shapes Neural Representations of Visual Input.,Poggio TA et al.
2018 Sep,Ann Neurol,High-Frequency Oscillations in the Normal Human Brain.,Gotman J et al.
2018 Nov,Brain Struct Funct,"Area TEO and ""Area ?"": cytoarchitectonic confusion corrected by connectivity and cortical ablation.",Weiner KS et al.
2018,Case Rep Neurol Med,Auditory Hallucinations as a Rare Presentation of Occipital Infarcts.,Kulairi Z et al.
2018 Aug,Nature,Differential tuning of excitation and inhibition shapes direction selectivity in ferret visual cortex.,Fitzpatrick D et al.
2019 Jun,Int J Neural Syst,A Computational Model for the Neural Representation and Estimation of the Binocular Vector Disparity from Convergent Stereo Image Pairs.,Solari F et al.
2018 Jul,PLoS Biol,"Blindsight relies on a functional connection between hMT+ and the lateral geniculate nucleus, not the pulvinar.",Bridge H et al.
2018 Dec 1,J Neurophysiol,Figure and ground: how the visual cortex integrates local cues for global organization.,Zhang NR et al.
2018,Front Neural Circuits,Monoaminergic Neuromodulation of Sensory Processing.,Nienborg H et al.
2018 Jul 24,Sci Rep,Higher visual responses in the temporal cortex of mice.,Shibuki K et al.
2018 Aug,Nat Neurosci,Does predictive coding have a future?,Friston K et al.
2018 Aug 7,Proc Natl Acad Sci U S A,Selective visual representation of letters and words in the left ventral occipito-temporal cortex with intracerebral recordings.,Jonas J et al.
2018 Aug 15,J Neurosci,Increased Prefrontal Activity with Aging Reflects Nonspecific Neural Responses Rather than Compensation.,Henson RNA et al.
2018,PLoS One,Upper nasal hemifield location and nonspatial auditory tones accelerate visual detection during dichoptic viewing.,Häkkinen J et al.
2018,Neuroimage Clin,Longitudinal brain structural alterations in patients with nasopharyngeal carcinoma early after radiotherapy.,Lv X et al.
2018,Neuroimage Clin,Fronto-limbic dysconnectivity leads to impaired brain network controllability in young people with bipolar disorder and those at high genetic risk.,Breakspear M et al.
2018 Sep,Breast J,Systemic paracoccidioidomycosis involving breast.,Rêgo SJF et al.
2018 Nov 1,Neuroimage,View-invariant representation of hand postures in the human lateral occipitotemporal cortex.,Peelen MV et al.
2018 Jul 26,Cell,Visual Projection Neurons Mediating Directed Courtship in Drosophila.,Dickson BJ et al.
2018 Jul 20,Nat Commun,Spatial frequency sensitivity in macaque midbrain.,Hafed ZM et al.
2018 Aug 22,J Neurosci,Suppressed Sensory Response to Predictable Object Stimuli throughout the Ventral Visual Stream.,de Lange FP et al.
2019 Jul,Neuropsychologia,Structural and functional abnormality of the putamen in children with developmental dyslexia.,Cao F et al.
2018 Sep,Sleep Med,"Serotonin: its place today in sleep preparation, triggering or maintenance.",Cespuglio R et al.
2018 Jul 20,Radiat Oncol,Predicting patterns of failure in temporal lobe GBMs: possible implications on radiotherapy treatment portals.,Back M et al.
2018 Jun 1,J Vis,Assessing the relationship between pupil diameter and visuocortical activity.,Keil A et al.
2018 Oct,Hum Mov Sci,Training effects of Interactive Metronome® on golf performance and brain activity in professional woman golf players.,Han DH et al.
2018 Nov 1,Neuroimage,The connectivity signature of co-speech gesture integration: The superior temporal sulcus modulates connectivity between areas related to visual gesture and auditory speech processing.,He Y et al.
2018 Oct,Brain Lang,Cortical phase locking to accelerated speech in blind and sighted listeners prior to and after training.,Ackermann H et al.
2018 Oct 15,J Affect Disord,Orbitofrontal connectivity is associated with depression and anxiety in marijuana-using adolescents.,Yurgelun-Todd D et al.
2018,PLoS One,Inferotemporal cortex multiplexes behaviorally-relevant target match signals and visual representations in a manner that minimizes their interference.,Rust NC et al.
2018 Nov,J Cogn Neurosci,Preserved Object Weight Processing after Bilateral Lateral Occipital Complex Lesions.,Snow JC et al.
2018 Jul 18,Sci Rep,Prior object-knowledge sharpens properties of early visual feature-detectors.,Fletcher PC et al.
2018 Aug 14,Neurology,Reduced occipital GABA in Parkinson disease with visual hallucinations.,Taylor JP et al.
2018,Cell Physiol Biochem,Fibroblast Growth Factor 9 Suppresses Striatal Cell Death Dominantly Through ERK Signaling in Huntington's Disease.,Yang SH et al.
2018 Jul,PLoS Comput Biol,Stochastic resonance enhances the rate of evidence accumulation during combined brain stimulation and perceptual decision-making.,Mattingley JB et al.
2018,Acta Neurobiol Exp (Wars),Face processing in a case of high functioning autism with developmental prosopagnosia.,Nowicka A et al.
2018 Jul 17,J Headache Pain,Increased thalamic glutamate/glutamine levels in migraineurs.,Schmidt-Wilcke T et al.
2018 Oct 30,Circulation,Higher Aortic Stiffness Is Related to Lower Cerebral Blood Flow and Preserved Cerebrovascular Reactivity in Older Adults.,Carr JJ et al.
2018 Aug 6,Curr Biol,Theta Rhythmic Neuronal Activity and Reaction Times Arising from Cortical Receptive Field Interactions during Distributed Attention.,Schmid MC et al.
2018 Nov,Parkinsonism Relat Disord,Impaired topographic organization in cognitively unimpaired drug-naïve patients with rigidity-dominant Parkinson's disease.,Shang H et al.
2018 Dec,Hum Brain Mapp,Functional cerebral asymmetry analyses reveal how the control system implements its flexibility.,Chen A et al.
2018,J Alzheimers Dis,Distinct Neuroanatomical Correlates of Neuropsychiatric Symptoms in the Three Main Forms of Genetic Frontotemporal Dementia in the GENFI Cohort.,Laforce R et al.
2018 Oct,World Neurosurg,Presurgical Thalamus and Brainstem Shifts Predict Distal Motor Function Recovery After Anatomic Hemispherectomy.,Luan G et al.
2018 Jul,Ann Clin Transl Neurol,Modified amyloid variants in pathological subgroups of β-amyloidosis.,Walter J et al.
2018 Nov 1,Neuroimage,Brain mechanisms for perceiving illusory lines in humans.,Murray MM et al.
2018 Sep,J Clin Neurosci,Threshold and distribution of afterdischarges with electrical cortical stimulation.,Mikuni N et al.
2018 Oct,Neurobiol Aging,The effects of cerebral amyloid angiopathy on integrity of the blood-brain barrier.,Vinters HV et al.
2018 Jul,Bull Exp Biol Med,Spontaneous Changes in Functional Connectivity of Independent Components of fMRI Signal in Healthy Volunteers at Rest and in Subjects with Mild Depression.,Natarova KA et al.
2018 Jul 13,Sci Rep,Integrated deep visual and semantic attractor neural networks predict fMRI pattern-information along the ventral object processing pathway.,Tyler LK et al.
2018 Jul 31,Proc Natl Acad Sci U S A,Time-resolved neural reinstatement and pattern separation during memory decisions in human hippocampus.,Davachi L et al.
2018 Aug 8,J Neurosci,A Generic Mechanism for Perceptual Organization in the Parietal Cortex.,Bartels A et al.
2018 Dec 15,J Comp Neurol,Long-term histological changes in the macaque primary visual cortex and the lateral geniculate nucleus after monocular deprivation produced by early restricted retinal lesions and diffuser induced form deprivation.,Kaas JH et al.
2018 Jul 2,Sensors (Basel),A Visual Cortex-Inspired Imaging-Sensor Architecture and Its Application in Real-Time Processing.,Wang L et al.
2018 Oct,J Neurooncol,Factors associated with long-term survival in central nervous system metastases.,Arrieta O et al.
2018 Jul,J Biosci,Applications of STED fluorescence nanoscopy in unravelling nanoscale structure and dynamics of biological systems.,Basu JK et al.
2018 Jul 12,Neural Dev,Does experience provide a permissive or instructive influence on the development of direction selectivity in visual cortex?,Van Hooser SD et al.
2018 Oct 1,J Neurophysiol,A quantitative framework for motion visibility in human cortex.,Gardner JL et al.
2018 Nov 1,J Neurophysiol,Automated in vivo patch-clamp evaluation of extracellular multielectrode array spike recording capability.,Boyden ES et al.
2018 Dec 1,Brain Res,Distributed performance of white matter properties in chess players: A DWI study using automated fiber quantification.,Feng Y et al.
2018 Jul 9,Curr Biol,Strengthening functionally specific neural pathways with transcranial brain stimulation.,Romei V et al.
2018 Sep,Psychogeriatrics,Imaging studies of kleptomania in a middle-aged woman with obsessive-compulsive disorder: a case report.,Arai T et al.
2018 Oct,Neurol Sci,Bálint syndrome caused by bilateral medial occipital infarcts.,Nicastro N et al.
2018 Aug 1,J Neurosci,Associative Prediction of Visual Shape in the Hippocampus.,Turk-Browne NB et al.
2018 Nov 1,Neuroimage,Neural circuits for long-range color filling-in.,Knoblauch K et al.
2018 Feb 1,Rheumatology (Oxford),Ophthalmic manifestations of giant cell arteritis.,Rizzo JF 3rd et al.
